決算期,四半期,売上高,経常益,発表日,PDF_URL,資産合計,資本合計,売上高成長率,四半期成長率,経常益利回り,四半期割安率_四半期平均,四半期割安率_前年同期ベース,四半期割安率_前四半期,株価日付,始値,四半期成長率株価相関,経常益利回り株価相関
23.07-09,2Q,12169.0,915.0,23/11/13,https://tdnet-pdf.kabutan.jp/20231113/140120231110585008.pdf,63812.0,43323.0,,,4.22,,,,2024/06/28,2300.0,,
23.10-12,3Q,14899.0,2021.0,24/02/13,https://tdnet-pdf.kabutan.jp/20240213/140120240209531533.pdf,63814.0,44199.0,,,8.83,,,4.61,2024/06/28,2300.0,,
24.01-03,4Q,13881.0,1874.0,24/05/15,https://tdnet-pdf.kabutan.jp/20240515/140120240513594074.pdf,68043.0,46791.0,,,10.28,,,1.45,2024/06/28,2300.0,,
24.04-06,1Q,13022.0,1431.0,24/08/09,https://tdnet-pdf.kabutan.jp/20240809/140120240808567994.pdf,69232.0,48781.0,,,11.73,,,1.45,2024/08/16,2163.0,,
24.07-09,2Q,13896.0,810.0,24/11/13,https://tdnet-pdf.kabutan.jp/20241113/140120241111517905.pdf,70098.0,48067.0,3.1,-1.71,9.32,12.7,5.1,-2.41,2024/11/15,2500.0,,
24.10-12,3Q,14432.0,2090.0,25/02/13,https://tdnet-pdf.kabutan.jp/20250213/140120250207567159.pdf,72446.0,50307.0,-0.85,1.11,11.45,6.12,2.62,2.13,2025/02/14,2405.0,,
25.01-03,4Q,15054.0,1721.0,25/05/15,https://tdnet-pdf.kabutan.jp/20250515/140120250514548316.pdf,73896.0,51432.0,2.08,-2.53,11.77,3.37,1.49,0.32,2025/05/16,2117.0,,
25.04-06,1Q,13593.0,1223.0,25/08/12,https://tdnet-pdf.kabutan.jp/20250812/140120250808535926.pdf,74948.0,52274.0,1.0,-3.56,9.36,-5.66,-2.37,-2.41,2025/08/12,4450.0,-0.582,-1.0
